workload_profile,workload_label,context_budget_label,context_budget_tokens,input_sequence_length,output_sequence_length,node_count,experiment,coverage_status,coverage,raw_script_shape,selection_source,feasibility_source,feasible,feasible_status,feasible_detail,top_rank_node_local
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,1,agg,candidate,1,cluster_spanning,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,1,disagg,no_results,0,no_results,no_results,node_local_disagg_manifest,0,not_node_local_or_no_results,no_results,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,2,agg,candidate,1,cluster_spanning,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,2,disagg,candidate,1,cross_node,direct_aic,node_local_disagg_manifest,0,not_node_local_or_no_results,cross_node,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,4,agg,candidate,1,cluster_spanning,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,4,disagg,candidate,1,cross_node,direct_aic,node_local_disagg_manifest,0,not_node_local_or_no_results,cross_node,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,8,agg,candidate,1,cluster_spanning,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,8,disagg,candidate,1,cross_node,direct_aic,node_local_disagg_manifest,0,not_node_local_or_no_results,cross_node,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,16,agg,candidate,1,cluster_spanning,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,16,disagg,candidate,1,cross_node,direct_aic,node_local_disagg_manifest,0,not_node_local_or_no_results,cross_node,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,32,agg,candidate,1,cluster_spanning,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,32,disagg,candidate,1,cross_node,direct_aic,node_local_disagg_manifest,0,not_node_local_or_no_results,cross_node,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,64,agg,candidate,1,cluster_spanning,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,64,disagg,candidate,1,cross_node,direct_aic,node_local_disagg_manifest,0,not_node_local_or_no_results,cross_node,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,128,agg,candidate,1,cluster_spanning,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,128,disagg,candidate,1,cross_node,direct_aic,node_local_disagg_manifest,0,not_node_local_or_no_results,cross_node,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,256,agg,candidate,1,cluster_spanning,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,256,disagg,candidate,1,cross_node,direct_aic,node_local_disagg_manifest,0,not_node_local_or_no_results,cross_node,0
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,512,agg,candidate,1,cluster_spanning,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,0
