workload_profile	workload_tier	context_budget	node_count	topology	status	total_gpus	selected_total_gpus	selected_gpu_fraction	cluster_tokens_s	tokens_s_user	tokens_s_gpu_selected	tokens_s_gpu_allocated	request_rate	concurrency	scale_vs_topology_baseline	scale_vs_agg_1n	parallelism	prefill_parallelism	decode_parallelism	script_shape	source_run
practical_32k_8k	practical_rl	40K	1	agg	candidate	8	8	1.000	732.727	31.302	91.591	91.591	0.089	24.000	1.000	1.000	tp1pp1dp8etp1ep8			cluster_spanning	20260423T221500Z_rl_pow2_512_unfiltered
practical_32k_8k	practical_rl	40K	2	agg	candidate	16	16	1.000	1465.454	31.302	91.591	91.591	0.178	48.000	2.000	2.000	tp1pp1dp8etp1ep8			cluster_spanning	20260423T221500Z_rl_pow2_512_unfiltered
practical_32k_8k	practical_rl	40K	4	agg	candidate	32	32	1.000	2930.908	31.302	91.591	91.591	0.356	96.000	4.000	4.000	tp1pp1dp8etp1ep8			cluster_spanning	20260423T221500Z_rl_pow2_512_unfiltered
practical_32k_8k	practical_rl	40K	8	agg	candidate	64	64	1.000	5861.816	31.302	91.591	91.591	0.712	192.000	8.000	8.000	tp1pp1dp8etp1ep8			cluster_spanning	20260423T221500Z_rl_pow2_512_unfiltered
practical_32k_8k	practical_rl	40K	16	agg	candidate	128	128	1.000	11723.632	31.302	91.591	91.591	1.424	384.000	16.000	16.000	tp1pp1dp8etp1ep8			cluster_spanning	20260423T221500Z_rl_pow2_512_unfiltered
practical_32k_8k	practical_rl	40K	32	agg	candidate	256	256	1.000	23447.264	31.302	91.591	91.591	2.848	768.000	32.000	32.000	tp1pp1dp8etp1ep8			cluster_spanning	20260423T221500Z_rl_pow2_512_unfiltered
practical_32k_8k	practical_rl	40K	64	agg	candidate	512	512	1.000	46894.528	31.302	91.591	91.591	5.696	1536.000	64.000	64.000	tp1pp1dp8etp1ep8			cluster_spanning	20260423T221500Z_rl_pow2_512_unfiltered
practical_32k_8k	practical_rl	40K	128	agg	candidate	1024	1024	1.000	93789.056	31.302	91.591	91.591	11.392	3072.000	128.000	128.000	tp1pp1dp8etp1ep8			cluster_spanning	20260423T221500Z_rl_pow2_512_unfiltered
practical_32k_8k	practical_rl	40K	256	agg	candidate	2048	2048	1.000	187578.112	31.302	91.591	91.591	22.784	6144.000	256.000	256.000	tp1pp1dp8etp1ep8			cluster_spanning	20260423T221500Z_rl_pow2_512_unfiltered
practical_32k_8k	practical_rl	40K	512	agg	candidate	4096	4096	1.000	375156.224	31.302	91.591	91.591	45.568	12288.000	512.000	512.000	tp1pp1dp8etp1ep8			cluster_spanning	20260423T221500Z_rl_pow2_512_unfiltered
practical_32k_8k	practical_rl	40K	1	disagg	no_results	8	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered
practical_32k_8k	practical_rl	40K	2	disagg	candidate	16	16	1.000	1190.789	26.884	74.424	74.424	0.145	48.000	1.000	1.625	prefill tp1pp1dp8etp1ep8 | decode tp1pp1dp8etp1ep8	tp1pp1dp8etp1ep8	tp1pp1dp8etp1ep8	cross_node	20260423T221500Z_rl_pow2_512_unfiltered
practical_32k_8k	practical_rl	40K	4	disagg	candidate	32	32	1.000	3572.367	26.884	111.636	111.636	0.436	144.000	3.000	4.875	prefill tp1pp1dp8etp1ep8 | decode tp1pp1dp8etp1ep8	tp1pp1dp8etp1ep8	tp1pp1dp8etp1ep8	cross_node	20260423T221500Z_rl_pow2_512_unfiltered
