workload_profile	workload_tier	context_budget	node_count	total_gpus	agg_status	disagg_status	agg_selected_total_gpus	disagg_selected_total_gpus	agg_manifest_path	disagg_manifest_path
stress_256k_32k	stress_rl	256K	1	8	no_results	no_results	0	0	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/1n/agg_manifest.json	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/1n/disagg_manifest.json
stress_256k_32k	stress_rl	256K	2	16	no_results	no_results	0	0	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/2n/agg_manifest.json	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/2n/disagg_manifest.json
stress_256k_32k	stress_rl	256K	4	32	no_results	no_results	0	0	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/4n/agg_manifest.json	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/4n/disagg_manifest.json
stress_256k_32k	stress_rl	256K	8	64	no_results	no_results	0	0	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/8n/agg_manifest.json	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/8n/disagg_manifest.json
stress_256k_32k	stress_rl	256K	16	128	no_results	no_results	0	0	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/16n/agg_manifest.json	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/16n/disagg_manifest.json
stress_256k_32k	stress_rl	256K	32	256	no_results	no_results	0	0	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/32n/agg_manifest.json	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/32n/disagg_manifest.json
stress_256k_32k	stress_rl	256K	64	512	no_results	no_results	0	0	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/64n/agg_manifest.json	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/64n/disagg_manifest.json
stress_256k_32k	stress_rl	256K	128	1024	no_results	no_results	0	0	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/128n/agg_manifest.json	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/128n/disagg_manifest.json
stress_256k_32k	stress_rl	256K	256	2048	no_results	no_results	0	0	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/256n/agg_manifest.json	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/256n/disagg_manifest.json
stress_256k_32k	stress_rl	256K	512	4096	no_results	no_results	0	0	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/512n/agg_manifest.json	/mnt/weka/shrd/k2m/micah.villmow/aiconfigurator/qwen35_397b_a17b/20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256/stress_256k_32k/512n/disagg_manifest.json
