workload_profile	workload_tier	context_budget	node_count	total_gpus	agg_cluster_tokens_s	disagg_cluster_tokens_s	disagg_to_agg_cluster_ratio	agg_tokens_s_user	disagg_tokens_s_user	disagg_to_agg_user_ratio	agg_tokens_s_gpu_allocated	disagg_tokens_s_gpu_allocated	disagg_to_agg_allocated_gpu_ratio	disagg_tokens_s_gpu_selected	disagg_to_agg_selected_gpu_ratio	disagg_selected_gpu_fraction	winner_cluster_tokens	winner_user_throughput	winner_allocated_gpu_efficiency	winner_selected_gpu_efficiency	disagg_script_shape
practical_32k_8k	practical_rl	40K	2	16	1465.454	1190.789	0.813	31.302	26.884	0.859	91.591	74.424	0.813	74.424	0.813	1.000	agg	agg	agg	agg	cross_node
practical_32k_8k	practical_rl	40K	4	32	2930.908	3572.367	1.219	31.302	26.884	0.859	91.591	111.636	1.219	111.636	1.219	1.000	disagg	agg	disagg	disagg	cross_node
practical_32k_8k	practical_rl	40K	8	64	5861.816	8335.524	1.422	31.302	26.884	0.859	91.591	130.243	1.422	130.243	1.422	1.000	disagg	agg	disagg	disagg	cross_node
practical_32k_8k	practical_rl	40K	16	128	11723.632	15480.259	1.320	31.302	26.884	0.859	91.591	120.940	1.320	138.217	1.509	0.875	disagg	agg	disagg	disagg	cross_node
practical_32k_8k	practical_rl	40K	32	256	23447.264	15480.259	0.660	31.302	26.884	0.859	91.591	60.470	0.660	69.108	0.755	0.875	agg	agg	agg	agg	cross_node
practical_32k_8k	practical_rl	40K	64	512	46894.528	15480.259	0.330	31.302	26.884	0.859	91.591	30.235	0.330	34.554	0.377	0.875	agg	agg	agg	agg	cross_node
practical_32k_8k	practical_rl	40K	128	1024	93789.056	15480.259	0.165	31.302	26.884	0.859	91.591	15.117	0.165	15.357	0.168	0.984	agg	agg	agg	agg	cross_node
practical_32k_8k	practical_rl	40K	256	2048	187578.112	15480.259	0.083	31.302	26.884	0.859	91.591	7.559	0.083	7.679	0.084	0.984	agg	agg	agg	agg	cross_node
practical_32k_8k	practical_rl	40K	512	4096	375156.224	15480.259	0.041	31.302	26.884	0.859	91.591	3.779	0.041	3.839	0.042	0.984	agg	agg	agg	agg	cross_node
practical_64k_8k	practical_rl	72K	2	16	1015.426	504.955	0.497	88.240	61.356	0.695	63.464	31.560	0.497	31.560	0.497	1.000	agg	agg	agg	agg	node_local
practical_64k_8k	practical_rl	72K	4	32	2030.852	1514.865	0.746	88.240	61.356	0.695	63.464	47.340	0.746	47.340	0.746	1.000	agg	agg	agg	agg	node_local
practical_64k_8k	practical_rl	72K	8	64	4061.704	3534.684	0.870	88.240	61.356	0.695	63.464	55.229	0.870	55.229	0.870	1.000	agg	agg	agg	agg	node_local
practical_64k_8k	practical_rl	72K	16	128	8123.408	5042.995	0.621	88.240	61.356	0.695	63.464	39.398	0.621	57.307	0.903	0.688	agg	agg	agg	agg	node_local
practical_64k_8k	practical_rl	72K	32	256	16246.816	5042.995	0.310	88.240	61.356	0.695	63.464	19.699	0.310	28.653	0.451	0.688	agg	agg	agg	agg	node_local
practical_64k_8k	practical_rl	72K	64	512	32493.632	5042.995	0.155	88.240	61.356	0.695	63.464	9.850	0.155	11.461	0.181	0.859	agg	agg	agg	agg	node_local
practical_64k_8k	practical_rl	72K	128	1024	64987.264	5042.995	0.078	88.240	61.356	0.695	63.464	4.925	0.078	5.210	0.082	0.945	agg	agg	agg	agg	node_local
practical_64k_8k	practical_rl	72K	256	2048	129974.528	5042.995	0.039	88.240	61.356	0.695	63.464	2.462	0.039	2.492	0.039	0.988	agg	agg	agg	agg	node_local
practical_64k_8k	practical_rl	72K	512	4096	259949.056	5042.995	0.019	88.240	61.356	0.695	63.464	1.231	0.019	1.246	0.020	0.988	agg	agg	agg	agg	node_local
stress_128k_16k	stress_rl	128K	2	16	698.904	422.052	0.604	179.730	90.246	0.502	43.681	26.378	0.604	26.378	0.604	1.000	agg	agg	agg	agg	node_local
stress_128k_16k	stress_rl	128K	4	32	1397.808	1266.156	0.906	179.730	90.246	0.502	43.681	39.567	0.906	39.567	0.906	1.000	agg	agg	agg	agg	node_local
stress_128k_16k	stress_rl	128K	8	64	2795.616	2954.363	1.057	179.730	90.246	0.502	43.681	46.162	1.057	46.162	1.057	1.000	disagg	agg	disagg	disagg	node_local
stress_128k_16k	stress_rl	128K	16	128	5591.232	5094.769	0.911	179.730	105.023	0.584	43.681	39.803	0.911	45.489	1.041	0.875	agg	agg	agg	disagg	node_local
stress_128k_16k	stress_rl	128K	32	256	11182.464	5094.769	0.456	179.730	105.023	0.584	43.681	19.901	0.456	22.745	0.521	0.875	agg	agg	agg	agg	node_local
stress_128k_16k	stress_rl	128K	64	512	22364.928	5094.769	0.228	179.730	105.023	0.584	43.681	9.951	0.228	11.372	0.260	0.875	agg	agg	agg	agg	node_local
stress_128k_16k	stress_rl	128K	128	1024	44729.856	5094.769	0.114	179.730	105.023	0.584	43.681	4.975	0.114	5.054	0.116	0.984	agg	agg	agg	agg	node_local
stress_128k_16k	stress_rl	128K	256	2048	89459.712	5064.622	0.057	179.730	90.246	0.502	43.681	2.473	0.057	2.563	0.059	0.965	agg	agg	agg	agg	node_local
stress_128k_16k	stress_rl	128K	512	4096	178919.424	5064.622	0.028	179.730	90.246	0.502	43.681	1.236	0.028	1.249	0.029	0.990	agg	agg	agg	agg	node_local
