workload_profile	profile_family	profile_tier	summary_label	profile_isl	profile_osl	profile_context_budget	context_budget_label	node_count	serving_concurrency	trainer_rollout_regime	agg_status	agg_failure_category	agg_failure_reason	agg_tok_s_gpu	agg_tok_s_user	agg_config	disagg_status	disagg_failure_category	disagg_failure_reason	disagg_tok_s_gpu	disagg_tok_s_user	disagg_config	boundary_class
balanced_1k	balanced_pow2	balanced_pow2	Balanced 1K	512	512	1024	1K	1	1	1	candidate	supported		1622.193	12.72	tp1pp1dp8etp1ep8, bs=128	no_results	unsupported_single_node_disagg	No disaggregated result CSV was emitted by AIConfigurator			no result	unsupported_disagg
balanced_1k	balanced_pow2	balanced_pow2	Balanced 1K	512	512	1024	1K	1	2	2	candidate	supported		1622.193	12.72	tp1pp1dp8etp1ep8, bs=128	no_results	unsupported_single_node_disagg	No disaggregated result CSV was emitted by AIConfigurator			no result	unsupported_disagg
balanced_1k	balanced_pow2	balanced_pow2	Balanced 1K	512	512	1024	1K	1	4	4	candidate	supported		1622.193	12.72	tp1pp1dp8etp1ep8, bs=128	no_results	unsupported_single_node_disagg	No disaggregated result CSV was emitted by AIConfigurator			no result	unsupported_disagg
balanced_1k	balanced_pow2	balanced_pow2	Balanced 1K	512	512	1024	1K	1	8	8	candidate	supported		1622.193	12.72	tp1pp1dp8etp1ep8, bs=128	no_results	unsupported_single_node_disagg	No disaggregated result CSV was emitted by AIConfigurator			no result	unsupported_disagg
balanced_1k	balanced_pow2	balanced_pow2	Balanced 1K	512	512	1024	1K	1	16	16	candidate	supported		1622.193	12.72	tp1pp1dp8etp1ep8, bs=128	no_results	unsupported_single_node_disagg	No disaggregated result CSV was emitted by AIConfigurator			no result	unsupported_disagg
balanced_1k	balanced_pow2	balanced_pow2	Balanced 1K	512	512	1024	1K	1	32	32	candidate	supported		1622.193	12.72	tp1pp1dp8etp1ep8, bs=128	no_results	unsupported_single_node_disagg	No disaggregated result CSV was emitted by AIConfigurator			no result	unsupported_disagg
balanced_1k	balanced_pow2	balanced_pow2	Balanced 1K	512	512	1024	1K	1	64	64	candidate	supported		1622.193	12.72	tp1pp1dp8etp1ep8, bs=128	no_results	unsupported_single_node_disagg	No disaggregated result CSV was emitted by AIConfigurator			no result	unsupported_disagg
balanced_1k	balanced_pow2	balanced_pow2	Balanced 1K	512	512	1024	1K	1	128	128	candidate	supported		1622.193	12.72	tp1pp1dp8etp1ep8, bs=128	no_results	unsupported_single_node_disagg	No disaggregated result CSV was emitted by AIConfigurator			no result	unsupported_disagg
balanced_1k	balanced_pow2	balanced_pow2	Balanced 1K	512	512	1024	1K	1	256	256	candidate	supported		1622.193	12.72	tp1pp1dp8etp1ep8, bs=128	no_results	unsupported_single_node_disagg	No disaggregated result CSV was emitted by AIConfigurator			no result	unsupported_disagg
balanced_1k	balanced_pow2	balanced_pow2	Balanced 1K	512	512	1024	1K	1	512	512	candidate	supported		1622.193	12.72	tp1pp1dp8etp1ep8, bs=128	no_results	unsupported_single_node_disagg	No disaggregated result CSV was emitted by AIConfigurator			no result	unsupported_disagg
