profile_context_budget	context_budget_label	node_count	total_cells	supported_both_cells	unsupported_disagg_cells	failed_both_cells	supported_both_ratio	unsupported_disagg_ratio	failed_both_ratio	mix_class
1024	1K	1	15	0	15	0	0.0000	1.0000	0.0000	unsupported_only
1024	1K	2	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1024	1K	4	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1024	1K	8	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1024	1K	16	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1024	1K	32	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1024	1K	64	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1024	1K	128	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1024	1K	144	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1024	1K	160	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1024	1K	176	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1024	1K	192	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1024	1K	208	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1024	1K	224	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1024	1K	240	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1024	1K	256	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1024	1K	512	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	1	15	0	15	0	0.0000	1.0000	0.0000	unsupported_only
1536	1.5K	2	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	4	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	8	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	16	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	32	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	64	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	128	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	144	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	160	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	176	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	192	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	208	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	224	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	240	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	256	15	15	0	0	1.0000	0.0000	0.0000	supported_only
1536	1.5K	512	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	1	15	0	15	0	0.0000	1.0000	0.0000	unsupported_only
2048	2K	2	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	4	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	8	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	16	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	32	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	64	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	128	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	144	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	160	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	176	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	192	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	208	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	224	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	240	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	256	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2048	2K	512	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	1	15	0	15	0	0.0000	1.0000	0.0000	unsupported_only
2560	2.5K	2	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	4	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	8	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	16	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	32	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	64	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	128	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	144	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	160	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	176	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	192	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	208	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	224	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	240	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	256	15	15	0	0	1.0000	0.0000	0.0000	supported_only
2560	2.5K	512	15	15	0	0	1.0000	0.0000	0.0000	supported_only
4096	4K	1	15	0	15	0	0.0000	1.0000	0.0000	unsupported_only
4096	4K	2	15	15	0	0	1.0000	0.0000	0.0000	supported_only
4096	4K	4	15	15	0	0	1.0000	0.0000	0.0000	supported_only
4096	4K	8	15	15	0	0	1.0000	0.0000	0.0000	supported_only
4096	4K	16	15	15	0	0	1.0000	0.0000	0.0000	supported_only
4096	4K	32	15	15	0	0	1.0000	0.0000	0.0000	supported_only
4096	4K	64	15	15	0	0	1.0000	0.0000	0.0000	supported_only
4096	4K	128	15	15	0	0	1.0000	0.0000	0.0000	supported_only
4096	4K	144	15	15	0	0	1.0000	0.0000	0.0000	supported_only
