node_count	total_cells	supported_both_cells	unsupported_disagg_cells	failed_both_cells	supported_both_ratio	unsupported_disagg_ratio	failed_both_ratio
1	300	0	285	15	0.0000	0.9500	0.0500
2	300	285	0	15	0.9500	0.0000	0.0500
4	300	285	0	15	0.9500	0.0000	0.0500
8	300	285	0	15	0.9500	0.0000	0.0500
16	300	285	0	15	0.9500	0.0000	0.0500
32	300	285	0	15	0.9500	0.0000	0.0500
64	300	285	0	15	0.9500	0.0000	0.0500
128	300	285	0	15	0.9500	0.0000	0.0500
144	300	285	0	15	0.9500	0.0000	0.0500
160	300	285	0	15	0.9500	0.0000	0.0500
176	300	285	0	15	0.9500	0.0000	0.0500
192	300	285	0	15	0.9500	0.0000	0.0500
208	300	285	0	15	0.9500	0.0000	0.0500
224	300	285	0	15	0.9500	0.0000	0.0500
240	300	285	0	15	0.9500	0.0000	0.0500
256	300	285	0	15	0.9500	0.0000	0.0500
512	300	285	0	15	0.9500	0.0000	0.0500
